gene,lineage,correlation,p_value,q_value,ci_low,ci_high
CLEC11A,Mono_1,0.37722683043399813,7.668703286084321e-200,2.4471877918161354e-197,0.354897261094899,0.3991262592720465
RPS6,Mono_1,0.37617363466477005,1.2768239394528642e-198,3.983974429746148e-196,0.35382402052826545,0.398093912632396
VIM,Mono_1,0.37509616239818316,2.2419532778680874e-197,6.8433186901186554e-195,0.35272610232720686,0.3970377126152785
RPS15,Mono_1,0.3740084618429448,3.997187106329239e-196,1.1692605033326842e-193,0.3516178242176083,0.395971427295085
CST7,Mono_1,0.3732689472168098,2.814603337651368e-195,8.065274584482216e-193,0.3508643549985189,0.3952464388063576
MCL1,Mono_1,0.36566606058736933,1.0625144374985687e-186,2.9837530433834805e-184,0.343119684301779,0.38779130604707107
SERPINB1,Mono_1,0.36040970536475997,6.474121570165737e-181,1.7481373262826368e-178,0.3377670965658927,0.3826354093819824
VAMP8,Mono_1,0.3596522076749231,4.317206092866984e-180,1.1437337877348174e-177,0.33699585144365696,0.38189227471566506
LYZ,Mono_1,0.3581954652190346,1.633441635383375e-178,4.247250741188512e-176,0.33551275678221104,0.3804630729291667
RPL38,Mono_1,0.35663412397023253,7.842278005784444e-177,2.0020622814403522e-174,0.33392329598717707,0.3789311317540813
RPS17,Mono_1,0.3535838071096934,1.4123008907350852e-173,3.5410922869305945e-171,0.33081841592008693,0.3759378997759727
NAP1L1,Mono_1,0.34936376819864207,3.895083012749728e-169,9.59488782140683e-167,0.32652370260490676,0.3717960671446193
IGFBP2,Mono_1,0.3442808028285989,6.961595804081288e-164,1.6567418082221246e-161,0.32135204496810493,0.3668061139279978
RPS21,Mono_1,0.33794574009586986,1.7511189259106363e-157,4.03073128503463e-155,0.31490835628002156,0.3605851603168426
APLP2,Mono_1,0.3327954759137653,2.136862533266008e-152,4.5460131559981843e-150,0.30967134621383074,0.3555261794915029
RPS8,Mono_1,0.3317894506162774,2.047467829758746e-151,4.290820268304859e-149,0.3086485401973841,0.3545378294892399
PRAM1,Mono_1,0.3308690714885599,1.6056693048810716e-150,3.3154709867404597e-148,0.3077128558199693,0.3536335763745523
MNDA,Mono_1,0.3278288174959688,1.3705887000065773e-147,2.7104839347594864e-145,0.30462236285844424,0.35064628839562173
RPL32,Mono_1,0.32779813796096663,1.4665772122235327e-147,2.8600292551153645e-145,0.30459117884665976,0.35061614097980626
RPL35A,Mono_1,0.3265051733747698,2.5232579842517852e-146,4.853296624230043e-144,0.3032769987165434,0.34934555913810084
HSPB1,Mono_1,0.3244151361072583,2.4311543854404915e-144,4.4915577271013074e-142,0.3011528540196625,0.3472915252387403
GSTP1,Mono_1,0.32160185286365595,1.0712009609765296e-141,1.9282990632142886e-139,0.29829402511750114,0.3445263574974481
FAM101B,Mono_1,0.31800419114107753,2.330692760446257e-138,4.040155191287148e-136,0.2946387282847316,0.3409896467774297
FOS,Mono_1,0.31774240618921473,4.059258907734915e-138,6.950738332134871e-136,0.29437277618014224,0.3407322715454408
ENO1,Mono_1,0.316049192406833,1.4480335623948627e-136,2.3919810881866196e-134,0.292652696845541,0.33906749641553696
RPS20,Mono_1,0.3142458367092041,6.343354858700583e-135,1.0356633205931965e-132,0.2908208945096918,0.33729427072809126
FTL,Mono_1,0.3138527731021794,1.4404787882089026e-134,2.3248003063495633e-132,0.2904216534003106,0.3369077526181644
RPL37,Mono_1,0.31378860000788844,1.6466640368225712e-134,2.6273647432983774e-132,0.29035647251757285,0.33684464742929626
RPS23,Mono_1,0.31314593890735964,6.274595709982061e-134,9.899055995939116e-132,0.289703730917072,0.33621266943770917
MT-ND3,Mono_1,0.31058090131527927,1.2624619154863073e-131,1.9479371159717845e-129,0.2870986764604908,0.3336900641381176
ANXA1,Mono_1,0.307697765251047,4.587951406553246e-129,6.9268199676789395e-127,0.2841709754838816,0.33085422739928655
CYBA,Mono_1,0.304934622169728,1.221618567748184e-126,1.7867444072658596e-124,0.281365533909418,0.3281360225590607
RPS29,Mono_1,0.30400199551358503,7.929949790689787e-126,1.1361676021538296e-123,0.2804187214379991,0.32721847689403977
NPW,Mono_1,0.29687110222146224,1.0157052466312626e-119,1.4120314225692632e-117,0.2731808795166435,0.32020144597894024
RPS27A,Mono_1,0.29625594073994044,3.35053943875193e-119,4.6122474764231226e-117,0.2725566175378878,0.31959598710368525
EGR1,Mono_1,0.295152962716376,2.8257736977873375e-118,3.8150662010223083e-116,0.27143737237897037,0.31851035802726607
LAIR2,Mono_1,0.2940315033930799,2.4448518984479127e-117,3.2385061798214285e-115,0.2702994391120008,0.3174064755209516
LAIR1,Mono_1,0.292941583258738,1.971287587624254e-116,2.5868083194235653e-114,0.26919357186720017,0.316333577178862
RPS16,Mono_1,0.29001114359741065,5.143657585252967e-114,6.625880381150175e-112,0.26622056613165074,0.3134486067887126
RPL11,Mono_1,0.28996199748176243,5.643417321825558e-114,7.203565692341151e-112,0.266170710003489,0.31340021954464914
LYST,Mono_1,0.2868654077370041,1.870035870753757e-111,2.3655111406534686e-109,0.26302964057705286,0.31035119920460597
VAMP5,Mono_1,0.28387692282920424,4.704771588800694e-109,5.845990962685889e-107,0.25999870788769613,0.3074081647329053
RPS2,Mono_1,0.2828594885030083,3.039522857644711e-108,3.7111252560164687e-106,0.25896692950110956,0.30640610134807955
GAPDH,Mono_1,0.2821764853895042,1.0586075398616315e-107,1.270419527110869e-105,0.2582743278144819,0.3057333874623301
HINT1,Mono_1,0.2790685431710961,2.954593021269053e-105,3.4571200509698977e-103,0.2551230184351159,0.3026719683786523
PLAC8,Mono_1,0.27532539499123587,2.3568297714835e-102,2.690426570845514e-100,0.2513283148117712,0.2989842051434815
CSF3R,Mono_1,0.2751184892827267,3.398918636588259e-102,3.7876362362171224e-100,0.25111858084551264,0.29878034027243866
CEBPE,Mono_1,0.26621359091409574,1.731513341378999e-95,1.8701676020232714e-93,0.2420940937978838,0.2900042677230723
RPS15A,Mono_1,0.2636928808502056,1.2272480062009302e-93,1.3054385799293378e-91,0.23954028939332953,0.2875192975628004
SDF2L1,Mono_1,0.26325391880243015,2.564682805013077e-93,2.707572275578091e-91,0.23909559838953914,0.28708652654436684
RPL23,Mono_1,0.2612889563428514,6.82558848914874e-92,7.099117627862034e-90,0.23710511513188307,0.285149158247254
PKM,Mono_1,0.2569156676641136,9.128737821791918e-89,9.22133868746621e-87,0.23267575521217457,0.28083658414130247
SPARC,Mono_1,0.25464892871617106,3.599527568645284e-87,3.5592229993907347e-85,0.23038034933520807,0.27860093428382027
SNHG19,Mono_1,0.25448519213420273,4.686768085693298e-87,4.6018818665188526e-85,0.23021455247227549,0.27843943335129334
PYCARD,Mono_1,0.2534043993223865,2.6627532790719542e-86,2.5784633649275383e-84,0.22912019549786067,0.2773733636374717
BEX3,Mono_1,0.2521704921852731,1.9144856620110347e-85,1.8286594000201997e-83,0.22787087762913363,0.276156193236265
CLDN10,Mono_1,0.25199550473937404,2.5301753106566085e-85,2.4004183470898272e-83,0.22769371117652173,0.2759835730934993
CITED4,Mono_1,0.25133838817618276,7.194832126395369e-85,6.780042811189086e-83,0.2270284263265976,0.27533533246060615
FOSL2,Mono_1,0.2511746246168071,9.330726752048015e-85,8.676340021556701e-83,0.22686263063617726,0.2751737775227021
MT-ATP6,Mono_1,0.2497966008628995,8.250400096534083e-84,7.571494624538238e-82,0.22546756289183545,0.2738142849995915
RPS3,Mono_1,0.2495965778347174,1.1307403298802238e-83,1.0309561670031313e-81,0.2252650741845017,0.2736169438413777
LILRA4,DCs_1,0.6656720654154498,0.0,0.0,0.6510644015320537,0.6797868032779212
JCHAIN,DCs_1,0.6248988454868387,0.0,0.0,0.6089279566375995,0.6403632937483686
IRF7,DCs_1,0.6009377956129129,0.0,0.0,0.5842077616627142,0.6171573479021812
SCT,DCs_1,0.5888798497965538,0.0,0.0,0.5717795203473836,0.605468711863775
SPIB,DCs_1,0.5850200271600591,0.0,0.0,0.5678028214700119,0.6017255949059436
IGKC,DCs_1,0.5827521264065236,0.0,0.0,0.5654666229651596,0.5995259241421454
IRF8,DCs_1,0.5742353759068194,0.0,0.0,0.5566958667858029,0.5912631375684619
RNASE6,DCs_1,0.5543732616556166,0.0,0.0,0.5362565621616754,0.5719793986989105
TGFBI,DCs_1,0.5540905784276432,0.0,0.0,0.5359658174655549,0.5717048065428613
LILRB4,DCs_1,0.5131981089404922,0.0,0.0,0.4939524353628665,0.5319411617371855
CCDC50,DCs_1,0.5107093416801697,0.0,0.0,0.4913983458736322,0.5295184247094308
FCRLA,DCs_1,0.5047801018303854,0.0,0.0,0.48531482030678547,0.5237452587438591
PLD4,DCs_1,0.4858373312620002,0.0,0.0,0.4658917575741408,0.5052894333715893
GZMB,DCs_1,0.48498904239861623,0.0,0.0,0.4650224098462186,0.5044625342341098
UGCG,DCs_1,0.4610090723936567,0.0,0.0,0.4404630542554712,0.4810724358668729
ALOX5AP,DCs_1,0.4584191381220173,3.70968238030955e-310,3.255478143870397e-307,0.4378123826851755,0.47854449987846065
SMPD3,DCs_1,0.4407218230083772,3.442779494677929e-283,2.8435333461631063e-280,0.41970962482088403,0.4612618929858599
MPEG1,DCs_1,0.43180670159364654,2.9201229045858496e-270,2.277858094627218e-267,0.4105965865573766,0.45254977561950527
CD68,DCs_1,0.41982121912563547,1.5299191852454388e-253,1.1306102778963793e-250,0.39835169868852605,0.4408309680243843
EPHB1,DCs_1,0.4170762365974151,8.126482915083327e-250,5.7051973305342497e-247,0.39554838226997646,0.438146052457754
LGALS1,DCs_1,0.4155954969329457,8.010185571833164e-248,5.355762648290926e-245,0.3940363417925804,0.4366975589006585
LGMN,DCs_1,0.40283278885985624,4.3465600155645614e-231,2.774093144479182e-228,0.3810086834117672,0.42420824723914474
LSP1,DCs_1,0.40275770169646136,5.423162707082887e-231,3.3107229378326443e-228,0.3809320630933463,0.4241347444863242
IL3RA,DCs_1,0.3984125649383805,1.7777192875735678e-225,1.0400398548675195e-222,0.37649871638491406,0.4198808144604722
ARL4C,DCs_1,0.3872775222684919,9.535171786821226e-212,5.355333882350274e-209,0.3651422028201612,0.4089751946068324
CYBB,DCs_1,0.3794801463328548,1.798844988239993e-202,9.714454799952978e-200,0.3571936605798456,0.40133478192988625
RP11-117D22.2,DCs_1,0.37636866579541406,7.591367275029214e-199,3.9477921447661183e-196,0.3540227591207762,0.398285087103412
PLP2,DCs_1,0.37360508497001227,1.1598958231920455e-195,5.816463304799825e-193,0.35120683205302816,0.3955759772674245
TYROBP,DCs_1,0.3672626657181128,1.7615000326924965e-188,8.528697227253568e-186,0.34474580981743685,0.3893571230386976
HS3ST1,DCs_1,0.35757215013515803,7.683247219119005e-178,3.596015806788331e-175,0.33487820038930055,0.3798515095303861
PROC,DCs_1,0.3534448579801099,1.9829169026603372e-173,8.981334267823804e-171,0.3306769930437825,0.37580153988774145
CORO1A,DCs_1,0.3528992166504881,7.503633801870258e-173,3.292453819126884e-170,0.33012164741440936,0.3752660569215057
CTSZ,DCs_1,0.3506774059135211,1.6445866540566845e-170,6.997467033215123e-168,0.3278604843063865,0.3730854561052032
TNNI2,DCs_1,0.34924705440186926,5.155768107787289e-169,2.129180588277686e-166,0.32640493693582295,0.3716815036090825
JAML,DCs_1,0.34904103821902105,8.454941207958585e-169,3.3918808428841854e-166,0.32619530067132496,0.37147928127066293
SAMHD1,DCs_1,0.3405363823750798,4.417807441744236e-160,1.7230676191536338e-157,0.31754316311488945,0.36312938258700006
HCST,DCs_1,0.33917483545658267,1.032757154586797e-158,3.919173839879248e-156,0.316158360653307,0.36179227433253774
HERPUD1,DCs_1,0.33844636980550674,5.537550420603077e-158,2.0461248804128367e-155,0.31541749291033344,0.3610768458359371
ITM2C,DCs_1,0.3361754925408387,1.0078360059914162e-155,3.628468041057814e-153,0.3131081342211273,0.3588464388790189
CD74,DCs_1,0.3355874912479825,3.848402501015128e-155,1.3508854879188352e-152,0.3125102133390692,0.35826887441606825
MAPKAPK2,DCs_1,0.3297086618113072,2.131461290940056e-149,7.299475118558372e-147,0.30653321318367205,0.35249343765479657
PLAC8,DCs_1,0.3263924474012781,3.2313730831303237e-146,1.0802787966722112e-143,0.303162427272104,0.3492347806033932
CLEC4C,DCs_1,0.32501347203489,6.600577650712758e-145,2.1553188556664614e-142,0.3017609306394256,0.34787957654741103
APP,DCs_1,0.323510669679141,1.734425493636919e-143,5.534788262762723e-141,0.3002336991182705,0.34640257126075774
SCN9A,DCs_1,0.32276547942563216,8.707349162524067e-143,2.716886435355565e-140,0.299476439503532,0.3456701308289138
ACTG1,DCs_1,0.30605372342445264,1.2823558834915076e-127,3.914251947848752e-125,0.28250171794480555,0.32923696966230304
CYBA,DCs_1,0.3042246518489655,5.0771423507289576e-126,1.5167692712039424e-123,0.2806447603407008,0.32743753675500953
PACSIN1,DCs_1,0.3036589955953943,1.5748407311222351e-125,4.6067372303515217e-123,0.2800705158258621,0.3268810124266668
IGLC2,DCs_1,0.29833391143699356,5.87164920631549e-121,1.6825270715484857e-118,0.2746654091937609,0.32164110656189376
TMSB4X,DCs_1,0.29826073367764383,6.774441984981078e-121,1.9023987982223865e-118,0.27459114217628217,0.3215690893849166
CAPG,DCs_1,0.2977669579316979,1.776198065453112e-120,4.890117066083754e-118,0.2740900239113505,0.3210831377595543
SELL,DCs_1,0.2968268389958655,1.1069034038044095e-119,2.988852056311099e-117,0.273135960809184,0.3201578815293771
SIT1,DCs_1,0.2862324417922759,6.066046932017414e-111,1.6070446221218208e-108,0.26238764484902866,0.3097278973125892
TCF4,DCs_1,0.27844903330773196,8.996243715620575e-105,2.2966592365641543e-102,0.2544949249439737,0.3020616738034342
GPR183,DCs_1,0.2731364170160793,1.1150047643269794e-100,2.795675338556271e-98,0.2491095292132771,0.2968272885460163
PLXNA4,DCs_1,0.26619660622995583,1.7822358612890597e-95,4.314547194544774e-93,0.24207688500383384,0.28998752492981184
VIM,DCs_1,0.2642756660543736,4.602224140013216e-94,1.095251341524162e-91,0.24013069626855563,0.28809384825314094
DNASE1L3,DCs_1,0.26286809210397083,4.896232994551247e-93,1.1458001246082344e-90,0.2387047445800268,0.2867061334313119
CLIC3,DCs_1,0.2619786092961008,2.1647705676914732e-92,4.982875990320652e-90,0.2378037021248657,0.28582914854233016
RPS6KA4,DCs_1,0.258427073439415,7.709908285307154e-90,1.7460455199031894e-87,0.23420642547016537,0.28232711623811363
RGS1,DCs_1,0.25505853792863625,1.8582633815348555e-87,4.14156764129062e-85,0.23079511879063758,0.2790049447837975
DUSP5,DCs_1,0.2519554792860023,2.6967208262998147e-85,5.916352675324328e-83,0.22765318753788907,0.27594408890369304
SPNS3,DCs_1,0.2510957353960419,1.0574724205951267e-84,2.284303116550181e-82,0.2267827629872513,0.2750959517693527
VAMP8,DCs_1,0.25032179731515264,3.601136347566801e-84,7.661144766088705e-82,0.22599924343354238,0.2743324300938943
HLA-DPA1,DCs_1,0.24859141415059208,5.48673491366366e-83,1.1498394764589767e-80,0.224247551691693,0.27262522658052263
CUEDC1,DCs_1,0.24689189299620365,7.793886019723735e-82,1.609322847102073e-79,0.22252725511418284,0.27094832432799226
MARCH1,DCs_1,0.24649348896756013,1.4473553432370234e-81,2.9452632426653684e-79,0.2221240028342625,0.2705552015253423
P3H2,DCs_1,0.2453939137344768,7.941122635368813e-81,1.592875756045907e-78,0.22101108992509982,0.26947016057370843
GPX1,DCs_1,0.24232791343109722,8.73023923850839e-79,1.7264970302520608e-76,0.21790823487205835,0.26644436403289606
SLC35F3,DCs_1,0.24221437973084592,1.0376175773277775e-78,2.023498389341573e-76,0.21779334592153174,0.2663323099466344
SERPINF1,DCs_1,0.24179584395152834,1.9597909826878814e-78,3.7695102997151423e-76,0.2173698199323249,0.2659192230521417
NGFR,DCs_1,0.23927775787299138,8.752007978040739e-77,1.6606343786441893e-74,0.2148219047793671,0.2634337327340862
FAM129C,DCs_1,0.23877496593978478,1.8584662912994293e-76,3.4792966928180385e-74,0.21431319667494803,0.26293741085519373
CXCR3,DCs_1,0.23702983588543225,2.501131392910194e-75,4.6208402484015826e-73,0.21254763526119771,0.2612146383485926
MAP1A,DCs_1,0.23626630053209804,7.746244226454714e-75,1.4125326647227355e-72,0.21177521097542312,0.2604608364924482
ST6GALNAC4,DCs_1,0.23424222510913958,1.5197071599397578e-73,2.7010390167992583e-71,0.2097277197067043,0.25846242109759143
ERP29,DCs_1,0.23323142519817416,6.64541878815228e-73,1.166354065055577e-70,0.20870530667874204,0.2574643578906177
RP11-525A16.4,DCs_1,0.23051005527234103,3.403058668116667e-71,5.899055155435324e-69,0.2059529372747109,0.2547770218874852
SASH3,DCs_1,0.23039311030284565,4.025415087130067e-71,6.892786980291863e-69,0.20583466887649526,0.25466153105149203
CMKLR1,DCs_1,0.22949539433061697,1.4565606726756135e-70,2.4640443861491913e-68,0.20492681763095236,0.25377495452984156
PLEK,DCs_1,0.22926523247927413,2.0235961170897744e-70,3.358225967727373e-68,0.20469406404534882,0.2535476421074874
MYL12A,DCs_1,0.2292619957119439,2.0329692134237355e-70,3.358225967727373e-68,0.2046907908502589,0.25354444539256976
CDK2AP2,DCs_1,0.22820967287367305,9.09730531675746e-70,1.4852937668905988e-67,0.20362665391808965,0.2525051160920752
HLA-DRA,DCs_1,0.2251691761672521,6.60825192572682e-68,1.0665110952773595e-65,0.20055234884275092,0.24950184683085927
ARPC2,DCs_1,0.22496202756443756,8.827869866394786e-68,1.4085468272051044e-65,0.200342914519868,0.2492972174955921
HLA-DPB1,DCs_1,0.22423752906074698,2.4249277103461487e-67,3.825664042805649e-65,0.19961043944737827,0.24858151299355036
CCR2,DCs_1,0.22205752701662815,4.960158158234274e-66,7.738397855529716e-64,0.19740660204979338,0.24642781158947114
SEL1L3,DCs_1,0.22194120752866614,5.821421766050344e-66,8.982261870012404e-64,0.19728901776829624,0.24631288867374565
RP11-476B1.1,DCs_1,0.22066017682563868,3.373499504017638e-65,5.148620275642571e-63,0.19599410476664056,0.24504719313363735
FCRL5,DCs_1,0.2204322325251975,4.606104655088846e-65,6.954227469043279e-63,0.1957636992899763,0.24482196883247467
CARD11,DCs_1,0.2199912419188657,8.40528231165977e-65,1.2555166908299448e-62,0.19531795492009318,0.24438623297873047
SLC4A3,DCs_1,0.2167865530341037,6.384606352829415e-63,9.436448189481875e-61,0.1920790264912603,0.24121943453823586
LPXN,DCs_1,0.21620114659674994,1.3973676156942443e-62,2.043795697079467e-60,0.19148742358997017,0.24064089340634157
PTPRS,DCs_1,0.2155504438046402,3.3282680307818265e-62,4.7685930020620025e-60,0.19082985425238716,0.23999780129699655
DBI,DCs_1,0.21264251743411708,1.5524656903997616e-60,2.2018354301922277e-58,0.18789151305955512,0.23712362408408916
AP1S2,DCs_1,0.21222055853012312,2.698164834143094e-60,3.7884932436203184e-58,0.18746517757289394,0.2367065267918491
PCED1B,DCs_1,0.21148679155424482,7.034431629797412e-60,9.779252922176778e-58,0.1867238221336813,0.2359811924393651
IGLC3,DCs_1,0.211119149814526,1.135360706124994e-59,1.5629019288922587e-57,0.18635238892566147,0.23561776546182409
KCTD5,DCs_1,0.20996929259762898,5.044093715441918e-59,6.876128141603881e-57,0.18519071899368933,0.23448104634446737
FYB,DCs_1,0.20898096274768824,1.8042718496397387e-58,2.4359404846914975e-56,0.1841922911711425,0.23350395543583366
CMTM5,Mega,0.6637056532820934,0.0,0.0,0.6490301752134902,0.6778873552502117
LTBP1,Mega,0.6395753164805251,0.0,0.0,0.6240847499101224,0.654563324113442
GP9,Mega,0.6009900859574533,0.0,0.0,0.5842616749183128,0.6172080211180072
VWF,Mega,0.5889507070990789,0.0,0.0,0.5718525307358827,0.6055374198641924
CLEC1B,Mega,0.5764584231402321,0.0,0.0,0.5589848376617718,0.593420239815347
PF4,Mega,0.5062885546517405,0.0,0.0,0.48686234609629186,0.5252141701822092
GP6,Mega,0.5043319121686836,0.0,0.0,0.48485504483225106,0.5233087958362388
ITGA2B,Mega,0.5028389320883566,0.0,0.0,0.48332354850509496,0.5218548073212885
ARHGAP6,Mega,0.47290675496017603,0.0,0.0,0.4526443570263563,0.4926810244696692
PROS1,Mega,0.47047779950644897,0.0,0.0,0.4501568849395282,0.49031166020779043
RGS18,Mega,0.4601045682220841,0.0,0.0,0.43953729758739457,0.48018962178076496
CDH6,Mega,0.44161307196606797,1.6624519188162016e-284,1.9452072826748574e-281,0.42062089259976837,0.4621326298168702
THBS1,Mega,0.440678707083134,3.985388554873343e-283,4.3045262076135857e-280,0.41966554151985075,0.4612197683718673
BDNF,Mega,0.42923519824380457,1.3050729988258579e-266,1.3088949983224194e-263,0.4079687826348475,0.45003609131059646
CAMK1,Mega,0.42911971738775007,1.899948003067274e-266,1.7784779940711728e-263,0.40785078170374855,0.449923199252865
PPBP,Mega,0.42143104668237813,9.597563180402293e-256,8.422461538501788e-253,0.3999959234532865,0.44240539371633925
SELP,Mega,0.41780618562298416,8.375351746216082e-251,6.9175478746247066e-248,0.39629380436502665,0.43886006510086595
TRPC6,Mega,0.415772946632482,4.6269657670973744e-248,3.60929035198968e-245,0.3942175363819141,0.4368711500439756
RGS6,Mega,0.3974163770440413,3.1751108097729464e-224,2.346406888422207e-221,0.3754824464477634,0.4189054041415359
ITPKA,Mega,0.39713826419839215,7.086351048838321e-224,4.974972753836943e-221,0.3751987365730742,0.4186330830635419
PDLIM1,Mega,0.39090460314399583,3.718269077351707e-216,2.486105529290253e-213,0.368840701349091,0.41252822502513464
LAT,Mega,0.37594984240733686,2.317583334709927e-198,1.479144891030095e-195,0.35359597655821096,0.39787454342800926
GMPR,Mega,0.37355357496410657,1.3287659897768736e-195,8.111827505416123e-193,0.3511543502188969,0.3955254789091086
LCN2,Mega,0.3714204147789853,3.6126565937956947e-193,2.1135546347285561e-190,0.3489810677548922,0.3934340969510075
TPM1,Mega,0.3671331099239482,2.4590332241684505e-188,1.3810914200219686e-185,0.344613853566763,0.3892300702945408
WFDC1,Mega,0.3603616326167919,7.303771399523147e-181,3.944317470027097e-178,0.3377181504669847,0.3825882490029841
RASGRP3,Mega,0.35689263909563246,4.1377261755275415e-177,2.1517708603919334e-174,0.3341864580137377,0.37918478747857814
SPX,Mega,0.34204701175448565,1.3118940318836523e-161,6.578680036313701e-159,0.3190797091824702,0.3646127885023165
C2orf88,Mega,0.3410981844969372,1.1974719467910178e-160,5.797828829273339e-158,0.31811458953441796,0.3636810736969537
PLEK,Mega,0.34020087608854804,9.620167824207313e-160,4.502559213989829e-157,0.31720191719530205,0.3627999070063508
GP1BA,Mega,0.33949842660881374,4.890493086404792e-159,2.2150778524583767e-156,0.3164874699340451,0.36211006571572446
C6orf25,Mega,0.3375444198648344,4.399604805474088e-157,1.9304640960519272e-154,0.3145002262126165,0.3601910009388843
CALD1,Mega,0.3329393782936778,1.5454978349445533e-152,6.575859121350446e-150,0.3098176532913722,0.35566754943247025
COL2A1,Mega,0.3325490543071297,3.719982020540292e-152,1.5362431632472424e-149,0.309420809292953,0.35528409207374173
SLC35D3,Mega,0.3325160069202492,4.0069278701405e-152,1.6074649778469359e-149,0.30938721024904264,0.3552516257092229
TNNT1,Mega,0.3291713211564275,7.0297475228119635e-149,2.7417968046611884e-146,0.305986990606149,0.35196546077909524
NRGN,Mega,0.3246685981189487,1.3999662272750395e-144,5.3126826478834676e-142,0.3014104399914725,0.3475406327634812
DMTN,Mega,0.32280855585306417,7.932992760241183e-143,2.931240824909117e-140,0.2995202128127905,0.3457124710009153
STUM,Mega,0.3197422431872554,5.769717803228301e-140,2.0772463506443227e-137,0.29640453883426293,0.34269833427263596
